Country,Year,Value,Source,Notes,ISO3
Barbados,2004,373,,,BRB
Anguilla,2004,315,,,AIA
Haiti,2004,21,,,HTI
Dominica,2004,420,,,DMA
Trinidad and Tobago,2004,297,,,TTO
Antigua and Barbuda,2005,231,,,ATG
Suriname,2005,356,,,SUR
Bahamas,2005,460,,,BHS
Grenada,2005,265,,,GRD
British Virgin Islands,2005,464,,,VGB
Aruba,2005,231,,,ABW
Jamaica,2005,179,,,JAM
Bermudas,2006,475,,,BMU
Cuba,2006,531,,,CUB
Cayman Islands,2007,409,,,CYM
Saint Kitts and Nevis,2007,452,,,KNA
Guadalupe,2007,174,,,GLP
Puerto Rico,2007,330,,,PRI
Anguilla,2007,400,,,AIA
United States Virgin Islands,2007,507,,,VIR
Guyana,2007,289,,,GUY
Trinidad and Tobago,2007,264,,,TTO
Haiti,2007,66,,,HTI
Dominican Republic,2007,160,,,DOM
Saint Vincent and the Grenadines,2007,350,,,VCT
Dominica,2007,362,,,DMA
Jamaica,2007,174,,,JAM
Belize,2007,458,,,BLZ
Barbados,2007,382,,,BRB
British Virgin Islands,2008,509,,,VGB
Bahamas,2008,415,,,BHS
Saint Lucia,2008,304,,,LCA
Antigua and Barbuda,2008,262,,,ATG
Grenada,2008,427,,,GRD
Suriname,2009,175,,,SUR
Jamaica,2009,189,,,JAM
Cayman Islands,2010,382,,,CYM
Barbados,2010,333,,,BRB
Saint Lucia,2010,301,,,LCA
Guyana,2010,281,,,GUY
United States Virgin Islands,2010,530,,,VIR
Trinidad and Tobago,2010,274,,,TTO
Belize,2010,446,,,BLZ
Saint Kitts and Nevis,2010,529,,,KNA
Saint Vincent and the Grenadines,2010,379,,,VCT
Anguilla,2010,387,,,AIA
Dominica,2010,434,,,DMA
British Virgin Islands,2010,460,,,VGB
Puerto Rico,2011,311,,,PRI
Saint Kitts and Nevis,2011,649,,,KNA
Saint Vincent and the Grenadines,2011,424,,,VCT
Antigua and Barbuda,2011,334,,,ATG
Aruba,2011,228,,,ABW
Suriname,2011,191,,,SUR
Guadalupe,2011,169,,,GLP
Barbados,2011,377,,,BRB
Dominican Republic,2011,210,,,DOM
Guyana,2011,260,,,GUY
Saint Lucia,2011,313,,,LCA
Haiti,2011,72,,,HTI
Bahamas,2011,371,,,BHS
United States Virgin Islands,2011,539,,,VIR
Jamaica,2011,163,,,JAM
Belize,2012,407,,,BLZ
Bermudas,2012,417,,,BMU
Antigua and Barbuda,2012,397,,,ATG
Cuba,2012,510,,,CUB
Dominica,2012,356,,,DMA
Anguilla,2012,487,,,AIA
Grenada,2012,402,,,GRD
Guadalupe,2012,164,,,GLP
Trinidad and Tobago,2012,259,,,TTO
