Year,Item,Country,Value,Source,Notes,ISO3
1996,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Barbados,449.552335597813,733,"6495,6432",BRB
1996,Statistical discrepancy of GDP by economic activity,Barbados,406.9042,733,"6432,6495",BRB
1996,Total value added,Barbados,2899.58677496739,733,"6432,6495",BRB
1996,"Transport, storage and communications",Barbados,276.375,733,"6432,6495",BRB
1996,"Wholesale and retail trade, and repair of goods",Barbados,292.112459471978,733,"6432,6495",BRB
1996,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Barbados,750.43212306795,733,"6432,6495",BRB
1997,"Agriculture, hunting, forestry and fishing",Barbados,73.7636007827789,733,"6495,6432",BRB
1997,Construction,Barbados,120.027291037261,733,"6432,6495",BRB
1997,"Electricity, gas and water supply",Barbados,69.6235218508997,733,"6432,6495",BRB
1997,"Financial intermediation, real estate, renting and business activities",Barbados,833.467354877311,733,"6432,6495",BRB
1997,Gross domestic product (GDP),Barbados,3463.22350543478,733,"6432,6495",BRB
1997,Hotels and restaurants,Barbados,512.369409448819,733,"6432,6495",BRB
1997,Manufacturing,Barbados,384.966139240506,733,"6432,6495",BRB
1997,Mining and quarrying,Barbados,5.2185,733,"6432,6495",BRB
1997,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Barbados,462.382202007829,733,"6432,6495",BRB
1997,Statistical discrepancy of GDP by economic activity,Barbados,434.0431,733,"6432,6495",BRB
1997,Total value added,Barbados,3029.18040478055,733,"6432,6495",BRB
1997,"Transport, storage and communications",Barbados,286.425,733,"6432,6495",BRB
1997,"Wholesale and retail trade, and repair of goods",Barbados,317.505928670681,733,"6432,6495",BRB
1997,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Barbados,793.30679498396,733,"6495,6432",BRB
1998,"Agriculture, hunting, forestry and fishing",Barbados,63.9205479452055,733,"6432,6495",BRB
1998,Construction,Barbados,140.280563947633,733,"6432,6495",BRB
1998,"Electricity, gas and water supply",Barbados,71.7790488431877,733,"6432,6495",BRB
1998,"Financial intermediation, real estate, renting and business activities",Barbados,869.615477358931,733,"6432,6495",BRB
1998,Gross domestic product (GDP),Barbados,3592.76392663043,733,"6432,6495",BRB
1998,Hotels and restaurants,Barbados,544.605826771653,733,"6432,6495",BRB
1998,Manufacturing,Barbados,310.347151898734,733,"6432,6495",BRB
1998,Mining and quarrying,Barbados,6.909,733,"6432,6495",BRB
1998,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Barbados,485.564330284717,733,"6432,6495",BRB
1998,Statistical discrepancy of GDP by economic activity,Barbados,472.0448,733,"6432,6495",BRB
1998,Total value added,Barbados,3120.71908929831,733,"6432,6495",BRB
1998,"Transport, storage and communications",Barbados,302.273076923077,733,"6432,6495",BRB
1998,"Wholesale and retail trade, and repair of goods",Barbados,356.20907827698,733,"6432,6495",BRB
1998,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Barbados,870.029892096821,733,"6432,6495",BRB
1999,"Agriculture, hunting, forestry and fishing",Barbados,69.9686888454012,733,"6432,6495",BRB
1999,Construction,Barbados,154.351258811682,733,"6432,6495",BRB
1999,"Electricity, gas and water supply",Barbados,73.2879177377892,733,"6432,6495",BRB
1999,"Financial intermediation, real estate, renting and business activities",Barbados,901.040032771509,733,"6432,6495",BRB
1999,Gross domestic product (GDP),Barbados,3604.47166149068,733,"6432,6495",BRB
1999,Hotels and restaurants,Barbados,545.743582677165,733,"6432,6495",BRB
1999,Manufacturing,Barbados,293.812262658228,733,"6432,6495",BRB
1999,Mining and quarrying,Barbados,8.085,733,"6432,6495",BRB
1999,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Barbados,481.823013226494,733,"6432,6495",BRB
1999,Statistical discrepancy of GDP by economic activity,Barbados,477.5479,733,"6432,6495",BRB
1999,Total value added,Barbados,3126.92372175508,733,"6432,6495",BRB
1999,"Transport, storage and communications",Barbados,314.642307692308,733,"6432,6495",BRB
1999,"Wholesale and retail trade, and repair of goods",Barbados,327.663316350162,733,"6432,6495",BRB
1999,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Barbados,829.913240011665,733,"6432,6495",BRB
2000,"Agriculture, hunting, forestry and fishing",Barbados,72.5776908023483,733,"6432,6495",BRB
2000,Construction,Barbados,156.056797583082,733,"6432,6495",BRB
2000,"Electricity, gas and water supply",Barbados,74.3656812339332,733,"6432,6495",BRB
2000,"Financial intermediation, real estate, renting and business activities",Barbados,899.295987313877,733,"6432,6495",BRB
2000,Gross domestic product (GDP),Barbados,3687.5588121118,733,"6432,6495",BRB
2000,Hotels and restaurants,Barbados,596.184094488189,733,"6432,6495",BRB
2000,Manufacturing,Barbados,286.604746835443,733,"6432,6495",BRB
2000,Mining and quarrying,Barbados,7.7175,733,"6432,6495",BRB
2000,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Barbados,502.537400432379,733,"6432,6495",BRB
2000,Statistical discrepancy of GDP by economic activity,Barbados,501.5265,733,"6432,6495",BRB
2000,Total value added,Barbados,3186.0323150699,733,"6432,6495",BRB
2000,"Transport, storage and communications",Barbados,317.348076923077,733,"6432,6495",BRB
2000,"Wholesale and retail trade, and repair of goods",Barbados,332.041500694766,733,"6432,6495",BRB
2000,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Barbados,869.528433945757,733,"6495,6432",BRB
2001,"Agriculture, hunting, forestry and fishing",Barbados,65.6994129158513,733,"6432,6495",BRB
2001,Construction,Barbados,166.71641490433,733,"6432,6495",BRB
2001,"Electricity, gas and water supply",Barbados,77.598971722365,733,"6432,6495",BRB
2001,"Financial intermediation, real estate, renting and business activities",Barbados,891.701809861629,733,"6432,6495",BRB
2001,Gross domestic product (GDP),Barbados,3593.51926436335,733,"6432,6495",BRB
2001,Hotels and restaurants,Barbados,560.913661417323,733,"6432,6495",BRB
2001,Manufacturing,Barbados,258.622626582278,733,"6432,6495",BRB
2001,Mining and quarrying,Barbados,6.909,733,"6432,6495",BRB
2001,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Barbados,490.174508871418,733,"6432,6495",BRB
2001,Statistical discrepancy of GDP by economic activity,Barbados,485.2623,733,"6432,6495",BRB
2001,Total value added,Barbados,3108.25693793951,733,"6432,6495",BRB
2001,"Transport, storage and communications",Barbados,319.667307692308,733,"6432,6495",BRB
2001,"Wholesale and retail trade, and repair of goods",Barbados,321.533858267717,733,"6432,6495",BRB
2001,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Barbados,831.166885389326,733,"6432,6495",BRB
2002,"Agriculture, hunting, forestry and fishing",Barbados,62.9718199608611,733,"6432,6495",BRB
2002,Construction,Barbados,179.507955689829,733,"6432,6495",BRB
2002,"Electricity, gas and water supply",Barbados,80.4011568123393,733,"6432,6495",BRB
2002,"Financial intermediation, real estate, renting and business activities",Barbados,905.83903818293,733,"6432,6495",BRB
2002,Gross domestic product (GDP),Barbados,3617.69007181677,733,"6432,6495",BRB
2002,Hotels and restaurants,Barbados,545.364330708661,733,"6432,6495",BRB
2002,Manufacturing,Barbados,261.166455696203,733,"6432,6495",BRB
2002,Mining and quarrying,Barbados,7.35,733,"6432,6495",BRB
2002,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Barbados,497.542835943788,733,"6432,6495",BRB
2002,Statistical discrepancy of GDP by economic activity,Barbados,486.5039,733,"6432,6495",BRB
2002,Total value added,Barbados,3131.18614139401,733,"6432,6495",BRB
2002,"Transport, storage and communications",Barbados,310.003846153846,733,"6432,6495",BRB
2002,"Wholesale and retail trade, and repair of goods",Barbados,325.386660490968,733,"6432,6495",BRB
2002,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Barbados,826.403032954214,733,"6432,6495",BRB
2003,"Agriculture, hunting, forestry and fishing",Barbados,60.4814090019569,733,"6432,6495",BRB
2003,Construction,Barbados,180.573917421954,733,"6432,6495",BRB
2003,"Electricity, gas and water supply",Barbados,82.772236503856,733,"6432,6495",BRB
2003,"Financial intermediation, real estate, renting and business activities",Barbados,885.227528885742,733,"6432,6495",BRB
2003,Gross domestic product (GDP),Barbados,3689.06948757764,733,"6432,6495",BRB
2003,Hotels and restaurants,Barbados,583.668779527559,733,"6432,6495",BRB
2003,Manufacturing,Barbados,256.926740506329,733,"6432,6495",BRB
2003,Mining and quarrying,Barbados,6.174,733,"6432,6495",BRB
2003,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Barbados,502.679592684918,733,"6432,6495",BRB
2003,Statistical discrepancy of GDP by economic activity,Barbados,524.4219,733,"6432,6495",BRB
2003,Total value added,Barbados,3164.64754448341,733,"6432,6495",BRB
2003,"Transport, storage and communications",Barbados,319.280769230769,733,"6432,6495",BRB
2003,"Wholesale and retail trade, and repair of goods",Barbados,338.52121352478,733,"6432,6495",BRB
2003,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Barbados,870.531350247886,733,"6432,6495",BRB
2004,"Agriculture, hunting, forestry and fishing",Barbados,56.093542074364,733,"6432,6495",BRB
2004,Construction,Barbados,185.690533736153,733,"6495,6432",BRB
2004,"Electricity, gas and water supply",Barbados,84.2811053984576,733,"6432,6495",BRB
2004,"Financial intermediation, real estate, renting and business activities",Barbados,947.80888680966,733,"6432,6495",BRB
2004,Gross domestic product (GDP),Barbados,3741.94312888199,733,"6432,6495",BRB
2004,Hotels and restaurants,Barbados,508.956141732283,733,"6432,6495",BRB
2004,Manufacturing,Barbados,262.438370253165,733,"6432,6495",BRB
2004,Mining and quarrying,Barbados,6.762,733,"6432,6495",BRB
2004,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Barbados,507.6446269764,733,"6432,6495",BRB
2004,Statistical discrepancy of GDP by economic activity,Barbados,504.9849,733,"6432,6495",BRB
