Months,Country,Year,Value,Source,Notes,ISO3
February,Guyana,1996,68.6411421,409,,GUY
December,Guyana,1996,72.5219423,409,,GUY
October,Guyana,1996,71.4488557,409,,GUY
June,Guyana,1996,70.3025531,409,,GUY
June,Guyana,1997,75.7641313,409,,GUY
January,Haiti,1997,30.464,409,,HTI
January,Guyana,1997,73.9349339,409,,GUY
February,Haiti,1997,30.609,409,,HTI
January,Dominican Republic,1997,26.41199,409,,DOM
February,Dominican Republic,1997,26.45589,409,,DOM
March,Dominican Republic,1997,26.52811,409,,DOM
April,Dominican Republic,1997,26.66795,409,,DOM
May,Dominican Republic,1997,26.78696,409,,DOM
June,Dominican Republic,1997,26.85462,409,,DOM
July,Dominican Republic,1997,26.95846,409,,DOM
March,Haiti,1997,30.982,409,,HTI
December,Guyana,1997,78.6452712,409,,GUY
April,Haiti,1997,31.096,409,,HTI
May,Guyana,1997,75.4330774,409,,GUY
August,Dominican Republic,1997,27.00743,409,,DOM
September,Dominican Republic,1997,27.33194,409,,DOM
July,Guyana,1997,76.1805874,409,,GUY
May,Haiti,1997,31.245,409,,HTI
November,Guyana,1997,78.350329,409,,GUY
February,Guyana,1997,74.496452,409,,GUY
October,Dominican Republic,1997,27.39197,409,,DOM
November,Dominican Republic,1997,27.42138,409,,DOM
December,Dominican Republic,1997,27.4568,409,,DOM
September,Guyana,1997,77.7592803,409,,GUY
December,Haiti,1997,33.72,409,,HTI
November,Haiti,1997,32.972,409,,HTI
June,Haiti,1997,31.324,409,,HTI
April,Guyana,1997,75.1496499,409,,GUY
July,Haiti,1997,31.541,409,,HTI
March,Guyana,1997,74.8459357,409,,GUY
August,Haiti,1997,31.824,409,,HTI
September,Haiti,1997,32.054,409,,HTI
October,Haiti,1997,32.843,409,,HTI
August,Guyana,1997,77.2456925,409,,GUY
October,Guyana,1997,78.0310466,409,,GUY
June,Dominican Republic,1998,27.81113,409,,DOM
May,Dominican Republic,1998,27.74455,409,,DOM
July,Dominican Republic,1998,27.92471,409,,DOM
June,Haiti,1998,35.345,409,,HTI
April,Dominican Republic,1998,27.63755,409,,DOM
March,Guyana,1998,82.1801954,409,,GUY
March,Dominican Republic,1998,27.59217,409,,DOM
August,Dominican Republic,1998,28.06021,409,,DOM
September,Dominican Republic,1998,28.53531,409,,DOM
October,Dominican Republic,1998,28.6058,409,,DOM
November,Dominican Republic,1998,28.66696,409,,DOM
December,Dominican Republic,1998,28.73075,409,,DOM
February,Dominican Republic,1998,27.5421,409,,DOM
April,Guyana,1998,82.4431071,409,,GUY
July,Haiti,1998,35.391,409,,HTI
January,Dominican Republic,1998,27.49685,409,,DOM
September,Guyana,1998,84.117957,409,,GUY
November,Guyana,1998,84.7127977,409,,GUY
March,Haiti,1998,34.328,409,,HTI
February,Guyana,1998,81.5197116,409,,GUY
January,Haiti,1998,33.809,409,,HTI
May,Haiti,1998,35.057,409,,HTI
July,Guyana,1998,83.3775958,409,,GUY
May,Guyana,1998,82.7549458,409,,GUY
August,Haiti,1998,35.875,409,,HTI
December,Guyana,1998,85.2386558,409,,GUY
December,Haiti,1998,38.49,409,,HTI
April,Haiti,1998,34.681,409,,HTI
January,Guyana,1998,80.5790084,409,,GUY
February,Haiti,1998,33.97,409,,HTI
June,Guyana,1998,83.1290077,409,,GUY
September,Haiti,1998,36.266,409,,HTI
August,Guyana,1998,83.7972191,409,,GUY
October,Guyana,1998,84.4506414,409,,GUY
October,Haiti,1998,37.341,409,,HTI
November,Haiti,1998,37.945,409,,HTI
January,Dominican Republic,1999,35.14896,409,,DOM
November,Dominican Republic,1999,36.78359,409,,DOM
October,Guyana,1999,92.1597803,409,,GUY
October,Dominican Republic,1999,36.44071,409,,DOM
December,Dominican Republic,1999,36.92967,409,,DOM
September,Dominican Republic,1999,36.23461,409,,DOM
April,Dominican Republic,1999,35.48003,409,,DOM
January,Guyana,1999,86.7158864,409,,GUY
January,Haiti,1999,38.641,409,,HTI
February,Haiti,1999,38.882,409,,HTI
August,Dominican Republic,1999,35.84178,409,,DOM
March,Haiti,1999,39.878,409,,HTI
April,Haiti,1999,40.132,409,,HTI
May,Haiti,1999,40.387,409,,HTI
September,Guyana,1999,91.9360377,409,,GUY
November,Guyana,1999,92.4815923,409,,GUY
February,Guyana,1999,87.3816366,409,,GUY
June,Haiti,1999,41.018,409,,HTI
May,Dominican Republic,1999,35.59662,409,,DOM
July,Haiti,1999,41.482,409,,HTI
March,Guyana,1999,88.1167347,409,,GUY
August,Haiti,1999,42.065,409,,HTI
July,Dominican Republic,1999,35.72124,409,,DOM
September,Haiti,1999,42.484,409,,HTI
August,Guyana,1999,91.4978394,409,,GUY
April,Guyana,1999,91.6734402,409,,GUY
October,Haiti,1999,43.989,409,,HTI
November,Haiti,1999,44.335,409,,HTI
July,Guyana,1999,91.2040735,409,,GUY
June,Dominican Republic,1999,35.64059,409,,DOM
May,Guyana,1999,90.2075594,409,,GUY
February,Dominican Republic,1999,35.32858,409,,DOM
December,Guyana,1999,93.3207028,409,,GUY
December,Haiti,1999,44.972,409,,HTI
June,Guyana,1999,90.5927837,409,,GUY
March,Dominican Republic,1999,35.3945,409,,DOM
December,Guyana,2000,100,409,,GUY
June,Dominican Republic,2000,37.80697,409,,DOM
July,Dominican Republic,2000,37.9343,409,,DOM
May,Dominican Republic,2000,37.67694,409,,DOM
June,Haiti,2000,48.433,409,,HTI
November,Guyana,2000,99.4922058,409,,GUY
August,Dominican Republic,2000,38.13839,409,,DOM
September,Dominican Republic,2000,38.71342,409,,DOM
October,Dominican Republic,2000,38.8192,409,,DOM
October,Guyana,2000,99.2451007,409,,GUY
April,Dominican Republic,2000,37.60729,409,,DOM
December,Dominican Republic,2000,39.14129,409,,DOM
January,Guyana,2000,90.3505338,409,,GUY
July,Haiti,2000,49.07,409,,HTI
August,Haiti,2000,49.6,409,,HTI
September,Haiti,2000,50.668,409,,HTI
October,Haiti,2000,51.674,409,,HTI
November,Haiti,2000,52.232,409,,HTI
March,Dominican Republic,2000,37.4124,409,,DOM
September,Guyana,2000,98.7878597,409,,GUY
February,Guyana,2000,95.3598099,409,,GUY
December,Haiti,2000,52.873,409,,HTI
March,Guyana,2000,96.1020848,409,,GUY
August,Guyana,2000,98.4407745,409,,GUY
April,Guyana,2000,96.798465,409,,GUY
July,Guyana,2000,98.3741674,409,,GUY
February,Dominican Republic,2000,37.25092,409,,DOM
May,Guyana,2000,97.4069853,409,,GUY
June,Guyana,2000,98.0050047,409,,GUY
January,Haiti,2000,45.704,409,,HTI
February,Haiti,2000,46.307,409,,HTI
March,Haiti,2000,47.536,409,,HTI
April,Haiti,2000,47.84,409,,HTI
May,Haiti,2000,48.316,409,,HTI
January,Dominican Republic,2000,37.0833,409,,DOM
November,Dominican Republic,2000,38.93962,409,,DOM
June,Dominican Republic,2001,40.73261,409,,DOM
November,Dominican Republic,2001,41.36927,409,,DOM
January,Guyana,2001,101.495065,409,,GUY
February,Guyana,2001,102.027702,409,,GUY
January,Haiti,2001,53.499,409,,HTI
February,Haiti,2001,53.836,409,,HTI
June,Guyana,2001,104.013033,409,,GUY
April,Guyana,2001,103.184771,409,,GUY
December,Dominican Republic,2001,41.45062,409,,DOM
July,Guyana,2001,104.386654,409,,GUY
October,Dominican Republic,2001,41.31604,409,,DOM
August,Guyana,2001,105.066838,409,,GUY
September,Guyana,2001,105.660354,409,,GUY
March,Guyana,2001,102.715987,409,,GUY
September,Dominican Republic,2001,41.23684,409,,DOM
October,Guyana,2001,106.474306,409,,GUY
November,Guyana,2001,106.898433,409,,GUY
August,Dominican Republic,2001,40.87727,409,,DOM
December,Guyana,2001,107.412301,409,,GUY
July,Dominican Republic,2001,40.81034,409,,DOM
May,Guyana,2001,103.51598,409,,GUY
May,Dominican Republic,2001,40.66994,409,,DOM
December,Haiti,2001,58.074,409,,HTI
April,Dominican Republic,2001,40.3874,409,,DOM
November,Haiti,2001,57.564,409,,HTI
March,Dominican Republic,2001,40.29604,409,,DOM
October,Haiti,2001,57.296,409,,HTI
March,Haiti,2001,54.379,409,,HTI
April,Haiti,2001,54.629,409,,HTI
May,Haiti,2001,54.857,409,,HTI
June,Haiti,2001,55.455,409,,HTI
July,Haiti,2001,55.671,409,,HTI
August,Haiti,2001,56.019,409,,HTI
January,Dominican Republic,2001,39.9286,409,,DOM
February,Dominican Republic,2001,40.1621,409,,DOM
September,Haiti,2001,57.005,409,,HTI
November,Guyana,2002,113.942332,409,,GUY
January,Dominican Republic,2002,41.51877,409,,DOM
February,Dominican Republic,2002,41.59348,409,,DOM
April,Guyana,2002,111.41987,409,,GUY
April,Haiti,2002,58.984,409,,HTI
May,Haiti,2002,59.457,409,,HTI
March,Dominican Republic,2002,41.68613,409,,DOM
November,Dominican Republic,2002,43.09771,409,,DOM
June,Haiti,2002,61.101,409,,HTI
July,Haiti,2002,61.73,409,,HTI
April,Dominican Republic,2002,41.81761,409,,DOM
January,Guyana,2002,109.122885,409,,GUY
August,Haiti,2002,62.659,409,,HTI
September,Haiti,2002,64.704,409,,HTI
May,Dominican Republic,2002,41.87971,409,,DOM
June,Guyana,2002,112.302216,409,,GUY
January,Haiti,2002,58.411,409,,HTI
October,Haiti,2002,65.789,409,,HTI
June,Dominican Republic,2002,41.9491,409,,DOM
July,Guyana,2002,112.686563,409,,GUY
February,Haiti,2002,58.666,409,,HTI
November,Haiti,2002,66.608,409,,HTI
July,Dominican Republic,2002,42.001,409,,DOM
December,Dominican Republic,2002,43.54157,409,,DOM
March,Haiti,2002,58.818,409,,HTI
February,Guyana,2002,110.279616,409,,GUY
October,Dominican Republic,2002,42.92528,409,,DOM
December,Guyana,2002,114.300524,409,,GUY
December,Haiti,2002,69.431,409,,HTI
August,Guyana,2002,113.130025,409,,GUY
August,Dominican Republic,2002,42.41159,409,,DOM
March,Guyana,2002,110.857727,409,,GUY
September,Guyana,2002,113.424431,409,,GUY
September,Dominican Republic,2002,42.84854,409,,DOM
May,Guyana,2002,111.900542,409,,GUY
October,Guyana,2002,113.808453,409,,GUY
December,Dominican Republic,2003,57.2428,409,,DOM
October,Guyana,2003,119.444969,409,,GUY
January,Guyana,2003,115.966885,409,,GUY
March,Haiti,2003,76.776,409,,HTI
April,Haiti,2003,79.681,409,,HTI
February,Haiti,2003,73.66,409,,HTI
May,Haiti,2003,81.43,409,,HTI
September,Guyana,2003,118.902919,409,,GUY
November,Guyana,2003,119.823965,409,,GUY
June,Haiti,2003,82.272,409,,HTI
September,Dominican Republic,2003,52.2763,409,,DOM
February,Guyana,2003,116.694011,409,,GUY
March,Guyana,2003,117.110387,409,,GUY
August,Guyana,2003,118.623873,409,,GUY
January,Haiti,2003,72.476,409,,HTI
July,Haiti,2003,83.71,409,,HTI
August,Haiti,2003,84.479,409,,HTI
December,Guyana,2003,120.00791,409,,GUY
July,Dominican Republic,2003,49.54296,409,,DOM
July,Guyana,2003,118.360591,409,,GUY
June,Dominican Republic,2003,48.11192,409,,DOM
September,Haiti,2003,87.16,409,,HTI
October,Dominican Republic,2003,53.05184,409,,DOM
October,Haiti,2003,88.258,409,,HTI
November,Haiti,2003,89.526,409,,HTI
June,Guyana,2003,118.286439,409,,GUY
May,Dominican Republic,2003,46.15527,409,,DOM
December,Haiti,2003,90.528,409,,HTI
April,Dominican Republic,2003,45.66284,409,,DOM
March,Dominican Republic,2003,45.30285,409,,DOM
February,Dominican Republic,2003,44.99433,409,,DOM
May,Guyana,2003,117.871598,409,,GUY
August,Dominican Republic,2003,50.7666,409,,DOM
January,Dominican Republic,2003,44.44057,409,,DOM
November,Dominican Republic,2003,55.4199,409,,DOM
April,Guyana,2003,117.508988,409,,GUY
April,Guyana,2004,124.940412,409,,GUY
November,Dominican Republic,2004,77.39267,409,,DOM
May,Guyana,2004,125.169524,409,,GUY
June,Guyana,2004,125.548765,409,,GUY
October,Dominican Republic,2004,78.11456,409,,DOM
July,Guyana,2004,125.734276,409,,GUY
March,Guyana,2004,124.705273,409,,GUY
August,Guyana,2004,126.189105,409,,GUY
September,Dominican Republic,2004,77.43583,409,,DOM
September,Guyana,2004,126.564286,409,,GUY
October,Guyana,2004,127.035218,409,,GUY
December,Dominican Republic,2004,76.19882,409,,DOM
February,Guyana,2004,124.332309,409,,GUY
November,Guyana,2004,127.42058,409,,GUY
December,Guyana,2004,128.104283,409,,GUY
July,Dominican Republic,2004,73.90467,409,,DOM
June,Dominican Republic,2004,72.86688,409,,DOM
May,Dominican Republic,2004,71.91599,409,,DOM
April,Dominican Republic,2004,68.96885,409,,DOM
March,Dominican Republic,2004,67.69678,409,,DOM
February,Dominican Republic,2004,66.02914,409,,DOM
January,Dominican Republic,2004,60.44615,409,,DOM
December,Haiti,2004,107.73,409,,HTI
November,Haiti,2004,106.67,409,,HTI
October,Haiti,2004,106.36,409,,HTI
September,Haiti,2004,106.02,409,,HTI
August,Haiti,2004,103.28,409,,HTI
July,Haiti,2004,101.35,409,,HTI
January,Haiti,2004,91.253,409,,HTI
February,Haiti,2004,91.675,409,,HTI
March,Haiti,2004,91.761,409,,HTI
April,Haiti,2004,95.595,409,,HTI
May,Haiti,2004,99.613,409,,HTI
January,Guyana,2004,123.842277,409,,GUY
August,Dominican Republic,2004,75.78092,409,,DOM
June,Haiti,2004,100.28,409,,HTI
January,Haiti,2005,108.9,409,,HTI
February,Haiti,2005,108.74,409,,HTI
March,Haiti,2005,109.45,409,,HTI
April,Haiti,2005,110.5,409,,HTI
January,Dominican Republic,2005,76.22033,409,,DOM
May,Haiti,2005,111.09,409,,HTI
June,Haiti,2005,111.79,409,,HTI
July,Haiti,2005,112.44,409,,HTI
December,Dominican Republic,2005,78.66719,409,,DOM
February,Guyana,2005,130.911166,409,,GUY
August,Haiti,2005,113.1,409,,HTI
March,Guyana,2005,131.092359,409,,GUY
February,Dominican Republic,2005,76.10535,409,,DOM
November,Dominican Republic,2005,78.02018,409,,DOM
April,Guyana,2005,131.361644,409,,GUY
September,Haiti,2005,115.19,409,,HTI
May,Guyana,2005,131.924993,409,,GUY
October,Haiti,2005,116.13,409,,HTI
October,Dominican Republic,2005,77.6481,409,,DOM
June,Guyana,2005,132.355543,409,,GUY
November,Haiti,2005,117.19,409,,HTI
July,Guyana,2005,132.689504,409,,GUY
March,Dominican Republic,2005,76.14444,409,,DOM
September,Dominican Republic,2005,77.2808,409,,DOM
August,Guyana,2005,133.114338,409,,GUY
December,Haiti,2005,117.66,409,,HTI
September,Guyana,2005,133.439945,409,,GUY
April,Dominican Republic,2005,76.03359,409,,DOM
August,Dominican Republic,2005,76.27322,409,,DOM
October,Guyana,2005,133.466066,409,,GUY
May,Dominican Republic,2005,75.88754,409,,DOM
November,Guyana,2005,134.05776,409,,GUY
June,Dominican Republic,2005,75.82061,409,,DOM
July,Dominican Republic,2005,75.90956,409,,DOM
December,Guyana,2005,134.685228,409,,GUY
January,Guyana,2005,130.055184,409,,GUY
May,Haiti,2006,122.1,409,,HTI
April,Haiti,2006,121.28,409,,HTI
November,Guyana,2006,140.73592,409,,GUY
March,Haiti,2006,121.09,409,,HTI
February,Haiti,2006,119.64,409,,HTI
May,Dominican Republic,2006,80.18188,409,,DOM
January,Haiti,2006,118.46,409,,HTI
October,Guyana,2006,140.476706,409,,GUY
June,Dominican Republic,2006,80.30016,409,,DOM
July,Dominican Republic,2006,80.55112,409,,DOM
August,Dominican Republic,2006,81.08284,409,,DOM
September,Dominican Republic,2006,82.0345,409,,DOM
September,Guyana,2006,140.189492,409,,GUY
October,Dominican Republic,2006,82.35961,409,,DOM
November,Dominican Republic,2006,82.61091,409,,DOM
December,Dominican Republic,2006,82.93178,409,,DOM
August,Guyana,2006,140.376548,409,,GUY
March,Dominican Republic,2006,79.57592,409,,DOM
July,Guyana,2006,139.969077,409,,GUY
June,Haiti,2006,122.56,409,,HTI
June,Guyana,2006,139.718775,409,,GUY
May,Guyana,2006,138.901843,409,,GUY
April,Guyana,2006,138.037567,409,,GUY
February,Dominican Republic,2006,79.40835,409,,DOM
March,Guyana,2006,137.875047,409,,GUY
February,Guyana,2006,136.516409,409,,GUY
April,Dominican Republic,2006,79.8933,409,,DOM
January,Guyana,2006,136.626773,409,,GUY
July,Haiti,2006,124.16,409,,HTI
January,Dominican Republic,2006,78.95364,409,,DOM
August,Haiti,2006,125.73,409,,HTI
September,Haiti,2006,129.62,409,,HTI
October,Haiti,2006,130.82,409,,HTI
November,Haiti,2006,131.25,409,,HTI
December,Haiti,2006,132.12,409,,HTI
December,Guyana,2006,140.803725,409,,GUY
January,Haiti,2007,132.64,409,,HTI
February,Haiti,2007,133.47,409,,HTI
March,Haiti,2007,133.88,409,,HTI
April,Haiti,2007,134.53,409,,HTI
May,Haiti,2007,135.5,409,,HTI
June,Haiti,2007,136.33,409,,HTI
July,Haiti,2007,137.93,409,,HTI
August,Haiti,2007,138.8,409,,HTI
September,Haiti,2007,142.13,409,,HTI
October,Haiti,2007,142.54,409,,HTI
November,Haiti,2007,142.98,409,,HTI
December,Haiti,2007,143.95,409,,HTI
January,Dominican Republic,2007,83.29519,409,,DOM
February,Dominican Republic,2007,83.3611,409,,DOM
March,Dominican Republic,2007,83.59256,409,,DOM
April,Dominican Republic,2007,83.86741,409,,DOM
May,Dominican Republic,2007,84.05864,409,,DOM
June,Dominican Republic,2007,84.21118,409,,DOM
August,Dominican Republic,2007,84.71115,409,,DOM
September,Dominican Republic,2007,85.88784,409,,DOM
October,Dominican Republic,2007,86.11823,409,,DOM
November,Dominican Republic,2007,86.3048,409,,DOM
December,Dominican Republic,2007,86.65948,409,,DOM
July,Dominican Republic,2007,87.46546,409,,DOM
December,Dominican Republic,2008,94.08197,409,,DOM
February,Haiti,2008,145.52,409,,HTI
March,Haiti,2008,146.81,409,,HTI
April,Haiti,2008,148.32,409,,HTI
May,Haiti,2008,149.68,409,,HTI
June,Haiti,2008,151.16,409,,HTI
July,Haiti,2008,152.11,409,,HTI
August,Haiti,2008,153.72,409,,HTI
September,Haiti,2008,157.46,409,,HTI
October,Haiti,2008,160.16,409,,HTI
November,Haiti,2008,160.87,409,,HTI
January,Dominican Republic,2008,87.01707,409,,DOM
December,Haiti,2008,161.37,409,,HTI
February,Dominican Republic,2008,87.43861,409,,DOM
March,Dominican Republic,2008,87.57274,409,,DOM
April,Dominican Republic,2008,89.2089,409,,DOM
May,Dominican Republic,2008,89.36044,409,,DOM
June,Dominican Republic,2008,89.68775,409,,DOM
July,Dominican Republic,2008,90.21248,409,,DOM
August,Dominican Republic,2008,91.64271,409,,DOM
September,Dominican Republic,2008,93.01219,409,,DOM
October,Dominican Republic,2008,93.43821,409,,DOM
November,Dominican Republic,2008,93.80099,409,,DOM
January,Haiti,2008,144.65,409,,HTI
January,Haiti,2009,162.05,409,,HTI
February,Dominican Republic,2009,94.58464,409,,DOM
March,Dominican Republic,2009,94.80183,409,,DOM
April,Dominican Republic,2009,94.79223,409,,DOM
May,Dominican Republic,2009,94.90353,409,,DOM
June,Dominican Republic,2009,94.54511,409,,DOM
July,Dominican Republic,2009,94.81262,409,,DOM
August,Dominican Republic,2009,95.06138,409,,DOM
September,Dominican Republic,2009,95.91041,409,,DOM
October,Dominican Republic,2009,96.00915,409,,DOM
November,Dominican Republic,2009,96.2995,409,,DOM
December,Haiti,2009,168.87,409,,HTI
November,Haiti,2009,168.28,409,,HTI
October,Haiti,2009,168.13,409,,HTI
September,Haiti,2009,167.42,409,,HTI
August,Haiti,2009,165.55,409,,HTI
July,Haiti,2009,164.35,409,,HTI
June,Haiti,2009,163.56,409,,HTI
