CountryName,2010 E-Participation Index,2010 E-Government Index,2010 Human Capital Index,2010 Online Service Index,2010 Infrastructure Index,2010 E-Government Rank,2010 Online Service Rank
Mauritania ,0.1143,0.2359,0.5434,0.0889,0.0798,157,150
Mauritius ,0.0571,0.4645,0.8388,0.2952,0.2646,77,84
Mexico ,0.3714,0.515,0.8898,0.4413,0.2161,56,39
Micronesia (Federated States of) ,0.0143,0,0,0.127,0.0811,184,140
Monaco ,0.0286,0,0,0.1365,0.6961,184,135
Mongolia ,0.4286,0.5243,0.9127,0.5556,0.1036,53,20
Montenegro,0.1571,0.5101,0.891,0.3143,0.331,60,74
Morocco ,0.1286,0.3287,0.5739,0.2381,0.1768,126,104
Mozambique ,0.1143,0.2288,0.4918,0.1714,0.025,161,124
Myanmar ,0,0.2818,0.7643,0.0825,0.0044,141,154
Namibia ,0.0143,0.3314,0.8135,0.0667,0.1219,125,162
Nauru ,0.0143,0,0,0.0127,0,184,186
Nepal ,0.0571,0.2568,0.582,0.1683,0.0226,153,125
Netherlands ,0.6,0.8097,0.987,0.6794,0.7666,5,12
New Zealand ,0.7714,0.7311,0.9933,0.6381,0.5647,14,15
Nicaragua ,0.3,0.363,0.7625,0.254,0.0757,118,98
Niger ,0.1,0.1098,0.2818,0.0381,0.0116,183,172
Nigeria ,0.0143,0.2687,0.6567,0.0952,0.0593,150,149
Norway ,0.5,0.802,0.9884,0.7365,0.683,6,7
Oman ,0.1571,0.4576,0.798,0.3683,0.2091,82,55
Pakistan ,0.1714,0.2755,0.5025,0.2476,0.077,146,100
Palau ,0.0143,0.4189,0.959,0.054,0.2546,103,165
Panama ,0,0.4619,0.8884,0.2825,0.2201,79,88
Papua New Guinea ,0.0143,0.2043,0.521,0.073,0.0228,171,159
Paraguay ,0.0143,0.4243,0.8711,0.2635,0.1433,101,95
Peru ,0.1714,0.4923,0.8911,0.4095,0.1789,63,45
Philippines ,0.1857,0.4637,0.8881,0.3937,0.1115,78,49
Poland ,0.2429,0.5582,0.9551,0.3873,0.3373,45,50
Portugal ,0.2714,0.5787,0.9356,0.3873,0.4189,39,50
Qatar ,0.1286,0.4928,0.8886,0.2794,0.3168,62,90
Republic of Korea ,1,0.8785,0.9929,1,0.639,1,1
Republic of Moldova ,0.2,0.4611,0.8999,0.2952,0.1933,80,84
Romania ,0.1857,0.5479,0.9226,0.4159,0.3092,47,42
Russian Federation ,0.1286,0.5136,0.9396,0.3302,0.2765,59,68
Rwanda ,0.0286,0.2749,0.6329,0.1746,0.0203,148,121
Saint Kitts and Nevis ,0.0143,0.4691,0.8874,0.1016,0.4295,75,146
Saint Lucia ,0.0286,0.4471,0.8892,0.1111,0.351,88,144
Saint Vincent and the Grenadines ,0.0143,0.4355,0.8171,0.1302,0.3685,94,139
Samoa ,0.0143,0.3742,0.9049,0.1429,0.0818,115,134
San Marino ,0.0143,0,0,0.1841,0.5329,184,116
Sao Tome and Principe ,0.0143,0.3258,0.813,0.0889,0.0827,128,150
Saudi Arabia ,0.1,0.5142,0.8346,0.3111,0.4031,58,75
Senegal ,0.0143,0.2241,0.425,0.1778,0.071,163,120
Serbia,0.0429,0.4585,0.891,0.2222,0.2694,81,110
Seychelles ,0.0429,0.4179,0.9038,0.0571,0.3036,104,164
Sierra Leone ,0,0.1697,0.4931,0.0032,0.0179,177,189
Singapore ,0.6857,0.7476,0.9203,0.6857,0.6386,11,10
Slovakia ,0.0714,0.5639,0.931,0.346,0.4211,43,62
Slovenia ,0.5143,0.6243,0.977,0.4,0.5025,29,47
Solomon Islands ,0.0143,0.2445,0.6762,0.0444,0.0189,156,169
Somalia ,0,0,0,0,0.0122,184,190
South Africa ,0.1857,0.4306,0.8432,0.3079,0.1443,97,77
Spain ,0.8286,0.7516,0.9792,0.7651,0.51,9,5
Sri Lanka ,0.1429,0.3995,0.8342,0.2603,0.1081,111,97
Sudan ,0.1,0.2542,0.5388,0.1556,0.071,154,129
Suriname ,0,0.3283,0.8505,0.0222,0.1213,127,179
Swaziland ,0,0.2757,0.7742,0,0.0612,145,190
Sweden ,0.4857,0.7474,0.9698,0.527,0.7522,12,24
Switzerland ,0.2,0.7136,0.9358,0.4444,0.7687,18,38
Syrian Arab Republic ,0.0143,0.3103,0.7768,0.0413,0.1208,133,170
Tajikistan ,0.0286,0.3477,0.9005,0.0889,0.0614,122,150
Thailand ,0.0857,0.4653,0.8919,0.3333,0.1746,76,67
The former Yugoslav Republic of Macedonia ,0.2143,0.5261,0.8835,0.3206,0.3804,52,71
Timor-Leste,0.0143,0.2273,0.5445,0.1333,0.0067,162,138
Togo ,0.1,0.215,0.5341,0.0698,0.0453,165,160
Tonga ,0.0143,0.3697,0.9212,0.0698,0.1269,116,160
Trinidad and Tobago ,0.1286,0.4806,0.876,0.3397,0.2303,67,65
Tunisia ,0.3,0.4826,0.771,0.4825,0.1941,66,30
Turkey ,0.2143,0.478,0.8338,0.346,0.2581,69,62
Turkmenistan ,0,0.3226,0.9066,0.0286,0.0414,130,175
Tuvalu ,0,0,0,0.0127,0.1716,184,186
Uganda ,0.0714,0.2812,0.6996,0.1016,0.0479,142,146
Ukraine,0.2571,0.5181,0.9647,0.346,0.2486,54,62
United Arab Emirates ,0.1286,0.5349,0.8192,0.2508,0.5434,49,99
United Kingdom of Great Britain and Northern Ireland,0.7714,0.8147,0.9542,0.7746,0.7163,4,4
United Republic of Tanzania ,0.0429,0.2926,0.673,0.1746,0.0336,137,121
United States of America ,0.7571,0.851,0.9691,0.9365,0.6449,2,2
Uruguay ,0.2571,0.5848,0.9598,0.4794,0.3182,36,32
Uzbekistan ,0.3143,0.4498,0.8883,0.3778,0.0853,87,53
Vanuatu ,0.0143,0.2521,0.7133,0.0127,0.0375,155,186
Venezuela ,0.1429,0.4774,0.9004,0.3048,0.2321,70,79
Viet Nam ,0.0857,0.4454,0.8097,0.3048,0.226,90,79
Yemen ,0.0429,0.2154,0.5739,0.0476,0.0297,164,167
Zambia ,0,0.281,0.7008,0.1048,0.0426,143,145
Zimbabwe ,0.0286,0.323,0.7894,0.127,0.0586,129,140
,,,,"Source: United Nations E-Government Development Knowledge Base, http://www.unpan.org/egovkb",,,
