month,national,cades-bay,christian-valley,cobbs-cross,cochrane,renfrew,dunbars,codrington,coolidge,green-castle,jolly-hill
1976-08-01 00:00:00,125.22,,120.14200000000001,,86.868,,,,136.40,113.79,
1976-09-01 00:00:00,121.67,,106.17199999999998,,94.234,,,,132.84,110.24,
1976-10-01 00:00:00,208.79,,255.778,,230.124,,,,159.00,258.32,
1976-11-01 00:00:00,147.83,,147.828,,116.078,,,,149.10,146.30,
1976-12-01 00:00:00,113.03,,162.052,,140.20799999999997,,,,87.38,138.43,
1977-01-01 00:00:00,21.34,,19.558,,48.767999999999994,,,,20.32,22.10,
1977-02-01 00:00:00,27.69,,13.716,,119.38,,,,24.64,30.48,
1977-03-01 00:00:00,31.24,,34.544000000000004,,38.862,,,,25.15,37.08,
1977-04-01 00:00:00,46.99,,70.10399999999998,,22.352,,,,42.93,50.80,
1977-05-01 00:00:00,27.94,,29.717999999999996,,38.608,,,,36.58,19.05,
1977-06-01 00:00:00,20.57,,12.446,,38.099999999999994,,,,24.13,16.76,
1977-07-01 00:00:00,28.45,,18.287999999999997,,11.176,,,,27.94,28.96,
1977-08-01 00:00:00,181.36,,194.81799999999998,,104.648,,,,183.13,179.32,
1977-09-01 00:00:00,154.94,,182.626,,65.024,,,,135.13,174.50,
1977-10-01 00:00:00,164.34,,131.57199999999997,,168.402,,,,165.61,162.81,
1977-11-01 00:00:00,338.84,,234.442,,100.33,,,,237.74,439.93,
1977-12-01 00:00:00,68.33,,87.37599999999999,,93.21799999999999,,,,53.09,83.57,
1978-01-01 00:00:00,44.96,,n/a,,33.274,,,,27.18,62.48,
1978-02-01 00:00:00,33.53,,47.244,,26.162,,,,30.48,36.58,
1978-03-01 00:00:00,53.09,,33.274,,57.40399999999999,,,,75.69,30.48,
1978-04-01 00:00:00,125.48,,141.986,,95.758,,,,118.11,132.59,
1978-05-01 00:00:00,193.04,,n/a,,145.796,,,,177.55,208.28,
1978-06-01 00:00:00,52.32,,48.00599999999999,,68.072,,,,36.83,67.82,
1978-07-01 00:00:00,142.24,,182.37199999999999,,136.144,,,,107.95,176.53,
1978-08-01 00:00:00,178.56,,216.154,,188.976,,,,143.26,213.87,
1978-09-01 00:00:00,25.15,,51.053999999999995,,29.971999999999998,,,,27.18,22.86,
1978-10-01 00:00:00,227.33,,331.47,,336.54999999999995,,,,357.12,97.54,
1978-11-01 00:00:00,159.00,,178.56199999999998,,129.794,,,,83.31,234.44,
1978-12-01 00:00:00,49.28,,59.943999999999996,,62.483999999999995,,,,66.55,32.00,
1979-01-01 00:00:00,62.48,53.848,62.738,,59.943999999999996,,,,47.75,76.96,
1979-02-01 00:00:00,40.39,70.866,79.248,,32.766,,,,13.72,66.80,
1979-03-01 00:00:00,38.86,16.764,28.701999999999995,,38.862,,,,49.28,28.19,
1979-04-01 00:00:00,71.63,97.78999999999999,53.848,,84.32799999999999,,,,66.80,76.45,
1979-05-01 00:00:00,361.19,274.066,331.724,,334.01,,,,324.10,384.30,
1979-06-01 00:00:00,111.25,94.488,136.652,,111.252,,,,85.85,136.40,
1979-07-01 00:00:00,126.75,207.26399999999998,175.51399999999998,,104.13999999999999,,,,113.54,140.21,
1979-08-01 00:00:00,83.31,148.33599999999998,184.14999999999998,,101.346,,,,80.01,86.36,
1979-09-01 00:00:00,231.14,408.178,445.262,,287.52799999999996,,,,362.71,99.57,
1979-10-01 00:00:00,164.34,205.486,209.296,,73.406,,,,164.08,164.34,
1979-11-01 00:00:00,254.76,264.414,269.49399999999997,,242.06199999999998,,,,252.98,256.03,
1979-12-01 00:00:00,186.18,264.92199999999997,220.218,,173.228,,,,134.62,238.25,
1980-01-01 00:00:00,64.26,60.45199999999999,74.93,,87.37599999999999,,,,48.51,80.01,115.32
1980-02-01 00:00:00,56.90,54.864,65.27799999999999,,45.466,,,,50.04,63.50,41.15
1980-03-01 00:00:00,11.18,29.717999999999996,25.907999999999998,,15.493999999999998,,,,16.51,5.59,30.73
1980-04-01 00:00:00,24.38,21.843999999999998,37.846,,11.937999999999999,,,,12.19,36.32,33.53
1980-05-01 00:00:00,42.42,65.532,44.196,,35.559999999999995,,,,41.40,43.18,72.39
1980-06-01 00:00:00,81.28,93.726,76.454,,50.291999999999994,,,,69.60,92.96,97.28
1980-07-01 00:00:00,115.06,128.52399999999997,123.444,,95.758,,,,99.31,130.56,107.44
1980-08-01 00:00:00,106.17,142.748,81.026,,74.422,,,,70.10,141.99,76.45
1980-09-01 00:00:00,141.22,148.58999999999997,175.00599999999997,,112.26799999999999,,,,77.47,204.72,183.90
