month,george-f-l-charles-airport,hewanorra-international-airport
1989-02-01 00:00:00,97.00,70.8
1989-03-01 00:00:00,168.00,271.3
1989-04-01 00:00:00,92.30,80.8
1989-05-01 00:00:00,19.30,9.4
1989-06-01 00:00:00,49.30,81.9
1989-07-01 00:00:00,271.80,321.9
1989-08-01 00:00:00,239.50,223.7
1989-09-01 00:00:00,322.10,479.6
1989-10-01 00:00:00,107.30,103.4
1989-11-01 00:00:00,275.80,138.1
1989-12-01 00:00:00,208.00,101.3
1990-01-01 00:00:00,180.60,142.2
1990-02-01 00:00:00,68.70,92.3
1990-03-01 00:00:00,91.80,25
1990-04-01 00:00:00,75.00,38.3
1990-05-01 00:00:00,108.90,134.2
1990-06-01 00:00:00,164.80,98.2
1990-07-01 00:00:00,190.00,125.9
1990-08-01 00:00:00,230.00,160.5
1990-09-01 00:00:00,216.60,163.5
1990-10-01 00:00:00,599.60,289.9
1990-11-01 00:00:00,107.30,83.8
1990-12-01 00:00:00,145.50,109
1991-01-01 00:00:00,125.70,85.1
1991-02-01 00:00:00,46.80,43.1
1991-03-01 00:00:00,65.50,51.1
1991-04-01 00:00:00,61.60,80.9
1991-05-01 00:00:00,71.50,32.8
1991-06-01 00:00:00,119.20,22.2
1991-07-01 00:00:00,170.00,112.1
1991-08-01 00:00:00,150.90,64.9
1991-09-01 00:00:00,218.40,95.2
1991-10-01 00:00:00,88.30,36.1
1991-11-01 00:00:00,510.70,372.7
1991-12-01 00:00:00,110.00,43.8
1992-01-01 00:00:00,70.60,45
1992-02-01 00:00:00,73.80,46.9
1992-03-01 00:00:00,37.80,10.2
1992-04-01 00:00:00,62.90,47.9
1992-05-01 00:00:00,98.90,98.1
1992-06-01 00:00:00,268.50,235.3
1992-07-01 00:00:00,207.10,145.3
1992-08-01 00:00:00,302.70,134.3
1992-09-01 00:00:00,346.30,273.9
1992-10-01 00:00:00,65.80,91
1992-11-01 00:00:00,422.90,451.6
1992-12-01 00:00:00,150.00,113.4
1993-01-01 00:00:00,190.20,143.5
1993-02-01 00:00:00,41.20,34.6
1993-03-01 00:00:00,133.40,94
1993-04-01 00:00:00,35.00,36.9
1993-05-01 00:00:00,146.30,158.9
1993-06-01 00:00:00,108.80,72.9
1993-07-01 00:00:00,231.00,152.3
1993-08-01 00:00:00,158.90,98.4
1993-09-01 00:00:00,252.30,233
1993-10-01 00:00:00,239.10,182.5
1993-11-01 00:00:00,154.20,111.9
1993-12-01 00:00:00,44.30,57.5
1994-01-01 00:00:00,123.20,103.8
1994-02-01 00:00:00,75.70,49.3
1994-03-01 00:00:00,56.10,21.4
1994-04-01 00:00:00,38.90,26.7
1994-05-01 00:00:00,59.80,47.3
1994-06-01 00:00:00,97.60,31.9
1994-07-01 00:00:00,115.50,104.8
1994-08-01 00:00:00,250.60,207.2
1994-09-01 00:00:00,465.20,609.2
1994-10-01 00:00:00,206.90,160.5
1994-11-01 00:00:00,130.20,85.2
1994-12-01 00:00:00,116.80,96
1995-01-01 00:00:00,64.50,63.2
1995-02-01 00:00:00,32.50,31.6
1995-03-01 00:00:00,110.60,183.5
1995-04-01 00:00:00,150.90,117.2
1995-05-01 00:00:00,93.40,43.9
1995-06-01 00:00:00,134.70,148.1
1995-07-01 00:00:00,164.90,105.7
1995-08-01 00:00:00,420.80,345.7
1995-09-01 00:00:00,235.80,285.7
1995-10-01 00:00:00,195.00,184
1995-11-01 00:00:00,138.80,98.7
1995-12-01 00:00:00,111.40,55.8
1996-01-01 00:00:00,69.70,55.1
1996-02-01 00:00:00,51.60,47.9
1996-03-01 00:00:00,83.60,54.8
1996-04-01 00:00:00,89.20,62.2
1996-05-01 00:00:00,51.90,29.4
1996-06-01 00:00:00,169.30,93.2
1996-07-01 00:00:00,335.20,244.6
1996-08-01 00:00:00,277.20,161.3
1996-09-01 00:00:00,199.20,184.6
1996-10-01 00:00:00,640.80,423.7
1996-11-01 00:00:00,245.00,184.2
1996-12-01 00:00:00,75.60,59
1997-01-01 00:00:00,101.10,117
1997-02-01 00:00:00,66.30,24.1
1997-03-01 00:00:00,37.70,46.9
1997-04-01 00:00:00,17.30,14.7
1997-05-01 00:00:00,55.30,39.7
1997-06-01 00:00:00,213.30,133.1
1997-07-01 00:00:00,235.10,169.4
1997-08-01 00:00:00,168.70,126.9
1997-09-01 00:00:00,196.80,250.2
1997-10-01 00:00:00,254.50,160.3
1997-11-01 00:00:00,177.70,140.1
1997-12-01 00:00:00,88.90,98.5
1998-01-01 00:00:00,107.50,71.7
1998-02-01 00:00:00,18.00,16.3
1998-03-01 00:00:00,53.80,31.1
1998-04-01 00:00:00,35.60,25.5
1998-05-01 00:00:00,134.90,98.1
1998-06-01 00:00:00,289.50,182.2
1998-07-01 00:00:00,210.90,311.3
1998-08-01 00:00:00,228.80,118.7
1998-09-01 00:00:00,223.00,195.6
1998-10-01 00:00:00,353.90,256.2
1998-11-01 00:00:00,171.80,237.8
1998-12-01 00:00:00,261.00,169
1999-01-01 00:00:00,105.00,55.3
1999-02-01 00:00:00,58.90,19.3
1999-03-01 00:00:00,46.20,95
1999-04-01 00:00:00,75.90,47.6
1999-05-01 00:00:00,19.50,21.6
1999-06-01 00:00:00,106.60,68.9
1999-07-01 00:00:00,202.40,178.5
1999-08-01 00:00:00,274.30,163.9
1999-09-01 00:00:00,186.10,243.7
1999-10-01 00:00:00,199.90,167.9
1999-11-01 00:00:00,191.20,99.3
1999-12-01 00:00:00,126.20,72.2
