month,station-gonaïves,station-juvénat-(p.v),station-daien,station-delas,station-port-au-prince,station-saint-arc,station-cap-haitien,station-ouanainthe,station-jacel,station-la-vallée-de-jacel,station-cayes
1976-03-01 00:00:00,2.00,65.20,16.20,74.60,76.50,19.40,2.90,0,107.20,206.50,120.6
1976-04-01 00:00:00,39.50,116.00,83.60,106.30,125.30,84.90,165.10,144.8,195.80,280.30,126.4
1976-05-01 00:00:00,30.70,59.50,133.20,62.10,81.30,77.00,15.80,100.5,110.10,76.10,107.4
1976-06-01 00:00:00,67.10,40.00,49.70,35.50,33.10,208.20,84.80,155.3,65.80,33.70,61.5
1976-07-01 00:00:00,116.50,18.80,11.50,14.50,34.30,102.60,30.30,107.3,13.00,40.40,24.5
1976-08-01 00:00:00,73.50,111.00,90.90,139.80,190.30,106.50,40.20,78.1,118.90,97.10,37.7
1976-09-01 00:00:00,39.50,69.20,93.30,90.40,93.00,61.10,162.80,157,60.00,80.80,52.5
1976-10-01 00:00:00,31.50,227.30,182.60,181.40,171.30,185.60,98.00,312.7,99.40,129.80,170.8
1976-11-01 00:00:00,0.00,64.80,28.00,73.30,61.40,55.00,106.00,55.7,0.00,55.40,34.7
1976-12-01 00:00:00,9.50,41.00,46.00,45.30,29.10,47.50,72.90,28,62.20,91.20,122.9
1977-01-01 00:00:00,3.50,47.10,18.40,108.60,82.30,12.80,109.00,48.9,86.50,75.70,51.5
1977-02-01 00:00:00,1.00,69.60,2.00,27.70,30.90,7.50,280.00,,47.50,7.20,39.7
1977-03-01 00:00:00,0.00,23.20,47.30,51.10,79.60,0.00,45.80,5,6.50,29.90,3.5
1977-04-01 00:00:00,5.50,287.90,188.30,236.40,266.70,191.00,119.80,43.1,149.30,254.20,138.7
1977-05-01 00:00:00,158.30,365.80,166.40,255.30,254.90,106.80,359.20,239.4,165.80,353.40,489.2
1977-06-01 00:00:00,69.20,0.60,3.70,5.40,7.90,73.10,2.50,25.3,35.10,106.10,89.4
1977-07-01 00:00:00,24.50,64.50,57.30,24.70,36.50,170.80,0.00,5,47.40,143.90,148
1977-08-01 00:00:00,47.80,257.20,124.30,161.20,300.00,159.50,109.00,149,197.00,195.60,165.6
1977-09-01 00:00:00,30.80,151.60,155.80,187.80,224.00,200.50,61.20,,132.10,198.80,179.4
1977-10-01 00:00:00,89.90,100.50,96.30,114.50,161.20,71.80,150.30,150.6,85.50,253.20,241.8
1977-11-01 00:00:00,2.80,285.00,176.60,261.60,216.50,15.10,176.40,10.6,150.50,168.10,152.5
1977-12-01 00:00:00,6.00,3.90,0.50,1.50,27.10,30.20,163.00,125.5,17.20,24.80,131.2
1978-01-01 00:00:00,59.50,77.00,100.70,51.10,62.80,13.10,189.10,64.8,49.00,56.60,86.1
1978-02-01 00:00:00,63.20,20.00,53.00,72.50,123.30,32.40,192.60,114.1,54.40,82.10,107.5
1978-03-01 00:00:00,18.50,91.00,68.60,77.80,58.40,65.00,151.50,88.5,59.80,56.10,47.3
1978-04-01 00:00:00,47.50,344.00,197.50,251.50,266.90,79.20,245.00,423,258.00,160.00,209
1978-05-01 00:00:00,138.20,156.00,189.70,221.80,174.10,142.50,57.00,213,388.40,235.90,243.7
1978-06-01 00:00:00,18.40,44.00,35.40,94.60,72.40,164.60,72.20,89.8,193.60,159.70,123.3
1978-07-01 00:00:00,41.50,93.00,52.60,49.50,72.60,124.80,11.60,69.7,13.20,28.00,91
1978-08-01 00:00:00,152.00,43.50,12.80,33.10,94.40,211.00,11.90,174.8,122.90,98.50,189.3
1978-09-01 00:00:00,100.00,224.00,96.20,213.30,163.40,134.90,109.10,131.8,182.50,117.40,171.9
1978-10-01 00:00:00,76.50,125.00,129.90,121.80,140.70,192.70,232.60,206.7,85.90,168.60,93.2
1978-11-01 00:00:00,27.00,51.00,141.40,55.20,62.40,19.90,88.50,81.5,29.80,62.50,257.4
1978-12-01 00:00:00,0.00,0.00,0.10,0.00,0.00,0.00,32.40,11.7,31.10,26.80,66.9
1979-01-01 00:00:00,2.00,13.00,11.90,5.50,8.70,0.00,21.00,14,23.60,17.30,24.3
1979-02-01 00:00:00,0.00,97.70,62.10,77.80,62.70,15.30,153.10,179,59.30,50.70,49.7
1979-03-01 00:00:00,18.20,71.60,78.90,73.80,89.10,2.00,434.40,201,140.50,78.80,59.2
1979-04-01 00:00:00,41.00,133.70,144.00,181.30,192.40,10.00,118.50,126.6,106.90,151.60,75.6
1979-05-01 00:00:00,94.50,378.30,159.20,143.40,217.60,64.90,120.10,250,252.30,171.90,121.8
1979-06-01 00:00:00,75.80,180.10,111.10,135.30,166.20,65.70,63.20,216.3,170.90,164.10,425.2
1979-07-01 00:00:00,63.30,126.00,60.90,110.50,98.40,171.80,142.50,63.3,139.80,154.10,147.6
1979-08-01 00:00:00,50.50,99.40,156.40,106.00,171.70,156.90,152.60,297.2,214.10,80.00,276.7
1979-09-01 00:00:00,199.60,106.10,131.10,165.10,119.60,130.10,195.40,260.3,307.50,557.60,578.1
1979-10-01 00:00:00,103.90,164.50,249.80,163.50,217.90,246.80,353.10,409.6,89.60,230.70,304.5
1979-11-01 00:00:00,28.50,92.40,48.80,58.00,46.20,12.50,30.20,78.8,83.30,83.20,73.5
1979-12-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,112.40,20.4,1.90,8.00,4.5
1980-01-01 00:00:00,0.00,43.50,18.90,3.00,5.80,0.00,177.10,33.9,10.40,16.80,159.6
1980-02-01 00:00:00,0.00,16.00,33.70,4.00,3.20,0.00,171.10,82.5,55.20,77.90,48.7
1980-03-01 00:00:00,4.00,42.50,6.80,11.80,35.30,12.20,45.90,40.6,57.10,20.50,59.7
1980-04-01 00:00:00,26.00,233.00,152.10,140.00,221.90,59.00,95.10,224.6,76.90,96.60,207.7
1980-05-01 00:00:00,108.00,217.30,118.80,170.20,163.90,145.10,157.90,138.7,241.20,176.90,161.1
1980-06-01 00:00:00,125.50,93.30,49.30,43.60,72.90,305.20,71.70,113.4,56.60,75.00,41
1980-07-01 00:00:00,64.80,91.00,68.90,50.20,59.80,200.90,16.60,90,38.30,109.70,70.6
1980-08-01 00:00:00,58.50,161.60,78.90,142.20,149.10,170.40,60.70,103.8,174.50,160.00,182
1980-09-01 00:00:00,59.00,207.00,100.20,115.50,100.30,103.20,80.50,98.8,171.00,134.10,31.7
1980-10-01 00:00:00,128.50,116.90,145.70,91.40,88.60,178.60,48.10,139.1,86.50,155.00,102.6
1980-11-01 00:00:00,4.00,61.30,35.70,74.00,46.60,110.60,67.40,32,46.60,34.10,154.5
1980-12-01 00:00:00,67.00,41.00,104.30,56.70,41.30,52.40,264.30,129.6,30.00,79.40,115.4
1981-01-01 00:00:00,29.00,37.40,110.00,146.30,109.50,55.00,133.10,86.1,79.20,67.60,150.8
1981-02-01 00:00:00,17.50,84.90,47.40,95.10,90.60,33.00,139.80,18.4,24.00,94.10,99.3
1981-03-01 00:00:00,44.50,70.70,37.30,69.50,58.30,4.40,175.60,59.2,48.50,68.90,81.1
1981-04-01 00:00:00,1.20,150.70,180.30,153.30,227.70,1.00,98.70,37.5,173.50,108.50,107
1981-05-01 00:00:00,202.50,256.80,223.50,248.00,294.90,183.70,195.90,354.3,233.80,331.80,253.5
1981-06-01 00:00:00,169.50,122.80,93.90,92.10,106.50,109.50,95.70,92.6,110.70,161.90,94.3
1981-07-01 00:00:00,24.00,107.10,134.10,73.40,99.00,219.70,58.70,157.3,130.00,176.80,150.8
1981-08-01 00:00:00,25.40,116.30,93.90,121.70,138.90,180.90,72.60,112.2,201.00,201.80,148.8
1981-09-01 00:00:00,23.80,103.90,64.80,39.30,38.60,39.70,197.00,115,89.50,102.50,120.7
1981-10-01 00:00:00,33.50,303.60,384.50,291.80,263.60,105.70,197.00,178.8,167.00,163.60,211.5
1981-11-01 00:00:00,10.50,43.90,71.90,37.20,38.00,0.00,437.10,108.5,37.00,17.90,88.7
1981-12-01 00:00:00,4.70,50.00,67.30,34.10,29.30,15.20,215.60,93.3,70.20,29.80,19
