month,cultuurtuin,zorg-en-hoop,nickerie,sipaliwini,stoelanseiland,tafelberg,kwaalasaoetoe
1989-12-01 00:00:00,336.4,,,,,,
1990-01-01 00:00:00,419.7,,,,,,
1990-02-01 00:00:00,67.1,,,,,,
1990-03-01 00:00:00,351.8,,,,,,
1990-04-01 00:00:00,412.1,,,,,,
1990-05-01 00:00:00,407.3,,,,,,
1990-06-01 00:00:00,469.3,,,,,,
1990-07-01 00:00:00,289.9,,,,,,
1990-10-01 00:00:00,114.6,,,,,,
1991-01-01 00:00:00,,258.6,55,,,,79.4I
1991-02-01 00:00:00,,63.3,47.8,,,,78.3
1991-03-01 00:00:00,,103.3,128.6,,,,
1991-04-01 00:00:00,174.2,188.8,332.1,,,,
1991-05-01 00:00:00,161,159.9,115.4,,,,82.2I
1991-06-01 00:00:00,250.5,246.2,404,,,,83
1991-07-01 00:00:00,196.6,233.4,365.8,,,,83
1991-08-01 00:00:00,,237.1,190.9,,,,82.1
1991-09-01 00:00:00,176.7,173.2,132.9,,,,77.2
1991-10-01 00:00:00,32,61.2,49,,,,72.8
1991-11-01 00:00:00,,63.9,112.9,,,,69.8
1991-12-01 00:00:00,,333.4,164.2,,,,72.2
1992-01-01 00:00:00,,138.7,76.6,,,,
1992-02-01 00:00:00,,206.1,140.6,,,,
1992-03-01 00:00:00,,93.5,31.4,,,,79.8
1992-04-01 00:00:00,,86.1,83.4,,,,82.3
1992-05-01 00:00:00,,240.8,194.7,,,,77.9
1992-06-01 00:00:00,461.9,355.2,192.4,,,,78.4
1992-07-01 00:00:00,,302,112.3,,,,
1992-08-01 00:00:00,,113.4,87.3,,,,
1992-09-01 00:00:00,33.8,14.1,9.8,,,,71.2I
1992-10-01 00:00:00,19.8,20.5,31.4,,,,62.8
1992-11-01 00:00:00,115.8,71.6,29.4,,,,66
1992-12-01 00:00:00,,162.6,85.9,,,,71
1993-01-01 00:00:00,,255.1,145.4,,,,77.1
1993-02-01 00:00:00,67.3,62.7,92.7,,,,78.5
1993-03-01 00:00:00,290.8,284.3,173.2,,,,83.1
1993-04-01 00:00:00,,124,101,,,,83.1
1993-05-01 00:00:00,,222.3,181.2,,,,80
1993-06-01 00:00:00,256,265.3,344.3,,,,78.1
1993-07-01 00:00:00,,135.2,101.2,,,,78.4
1993-08-01 00:00:00,,166.9,111.4,,,,77.6
1993-09-01 00:00:00,,81.4,34.9,,,,72.5I
1993-10-01 00:00:00,,197.4,70.7,,,,75.5
1993-11-01 00:00:00,,107.9,138.7,,,,
1993-12-01 00:00:00,,138,143.9,,,,78.7
1994-01-01 00:00:00,,172.6,72.7,,,,
1994-02-01 00:00:00,181.8,142.4,107.1,,,,
1994-03-01 00:00:00,67,78,180.9,,,,
1994-04-01 00:00:00,,334.9,71.4,,,,
1994-05-01 00:00:00,310.9,345.2,185.2,,,,84.5
1994-06-01 00:00:00,320.7,326.6,333,,,,80.5
1994-07-01 00:00:00,280.9,272.3,311.5,,,,79.9
1994-08-01 00:00:00,138.2,120.1,127.6,,,,
1994-09-01 00:00:00,111.8,104.3,63.6,,,,75.6I
1994-10-01 00:00:00,92.2,52.4,79.5,,,,73.6
1994-11-01 00:00:00,96.5,129.1,135,,,,73.7
1994-12-01 00:00:00,103.5,109.7,59.6,,,,75.2
1995-01-01 00:00:00,,92,53.8,,,,79.2
1995-02-01 00:00:00,24.8,33.3,18.9,,,,75.6
1995-03-01 00:00:00,131.5,156,92.2,,,,77.9
1995-04-01 00:00:00,122.3,106.5,65.3,,,,
1995-05-01 00:00:00,243.6,,189,,,,
1995-06-01 00:00:00,436.5,365.2,370.7,,,,
1995-07-01 00:00:00,206.9,265.5,177,,,,
